COBERTURA,ID_ENTIDAD,ID_MUNICIPIO,ANIO,MES,ID_HORA,ID_MINUTO,ID_DIA,DIASEMANA,URBANA,SUBURBANA,TIPACCID,MOTOCICLET,BICICLETA,CAUSAACCI,CAPAROD,SEXO,ALIENTO,CINTURON,ID_EDAD,CONDMUERTO,CONDHERIDO,PASAMUERTO,PASAHERIDO,PEATMUERTO,PEATHERIDO,CICLMUERTO,CICLHERIDO,OTROMUERTO,OTROHERIDO,NEMUERTO,NEHERIDO,CLASACC,ESTATUS
Municipal,1,1,2020,6,12,25,6,Sabado,Accidente en intersección,Sin accidente en esta zona,Colisión con ciclista,1,1,Conductor,Pavimentada,Mujer,No,Se ignora,35,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,1,1,2020,10,9,20,14,Miercoles,Accidente en intersección,Sin accidente en esta zona,Colisión con ciclista,1,1,Conductor,Pavimentada,Hombre,No,No,22,0,0,0,0,0,0,0,1,0,0,0,0,No fatal,Cifras Definitivas
Municipal,1,4,2020,7,12,0,15,Miercoles,Accidente en intersección,Sin accidente en esta zona,Otro,1,1,Conductor,Pavimentada,Hombre,Se ignora,Se ignora,69,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,1,6,2020,3,12,27,22,Domingo,Accidente en intersección,Sin accidente en esta zona,Otro,1,1,Conductor,Pavimentada,Hombre,No,No,17,0,0,0,1,0,0,0,0,0,0,0,0,No fatal,Cifras Definitivas
Municipal,1,6,2020,3,6,35,30,lunes,Sin accidente en esta zona,Accidente en carretera estatal,Colisión con motocicleta,1,1,Conductor,Pavimentada,Hombre,No,No,31,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,1,6,2020,10,15,31,12,lunes,Accidente en intersección,Sin accidente en esta zona,Otro,1,1,Conductor,Pavimentada,Hombre,No,No,33,0,1,0,0,0,0,0,0,0,0,0,0,No fatal,Cifras Definitivas
Municipal,1,6,2020,11,11,20,13,Viernes,Accidente en intersección,Sin accidente en esta zona,Otro,1,1,Conductor,Pavimentada,Hombre,No,No,25,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,1,7,2020,7,17,48,13,lunes,Accidente en intersección,Sin accidente en esta zona,Colisión con ciclista,1,1,Conductor,Pavimentada,Mujer,Se ignora,Se ignora,17,0,0,0,0,0,0,0,2,0,0,0,0,No fatal,Cifras Definitivas
Municipal,1,7,2020,11,8,36,7,Sabado,Accidente en intersección,Sin accidente en esta zona,Volcadura,1,1,Conductor,Pavimentada,Hombre,No,No,39,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,2,1,2020,6,17,56,5,Viernes,Accidente en intersección,Sin accidente en esta zona,Otro,1,1,Conductor,Pavimentada,Hombre,No,Sí,19,0,0,0,0,0,0,0,0,0,0,0,0,Sólo daños,Cifras Definitivas
Municipal,2,2,2020,3,17,3,14,Sabado,Accidente en no intersección,Sin accidente en esta zona,Colisión con ciclista,1,1,Conductor,Pavimentada,Hombre,No,Sí,28,0,0,0,0,0,0,0,1,0,0,0,0,No fatal,Cifras Definitivas
